id,leitura_1,leitura_2,leitura_3
2,25,27,28,
3,33,32,32,
4,27,28,29,
5,20,23,24,
6,30,27,28,
7,30,29,32,
8,34,35,33,
9,39,40,36,
10,47,44,42,
11,38,34,36,
12,32,34,30,
13,45,47,49,
14,53,49,48,
15,56,55,51,
16,66,64,69,
17,67,68,63,
18,73,69,72,
19,72,71,69,
20,72,74,77,
21,67,71,73,
22,70,66,65,
23,44,43,45,
24,53,49,52,
25,46,45,44,
26,47,46,50,
27,42,43,39,
28,47,49,48,
29,72,70,68,
30,62,65,63,
31,50,51,48,
32,53,52,55,
33,51,50,55,
34,49,51,52,
35,44,43,41,
36,31,32,36,
37,37,36,35,
38,53,55, 56,
39,48,49,51,
