id,leitura_1,leitura_2,leitura_3
2,-61,-63,-64
3,-62,-58,-59
4,-57,-56,-56
5,-56,-60,-58
6,-65,-67,-72
7,-66,-60,-62
8,-68,-67,-72
9,-54,-53,-54
10,-69,-75,-74
11,-49,-50,-49
12,-63,-69,-66
13,-75,-80,-78
14,-53,-54,-52
15,-45,-48,-42
16,-55,-50,-51
17,-48,-43,-47
18,-55,-45,-53
19,-47,-48,-46
20,-46,-47,-49
21,-50,-53,-51
22,-53,-52,-53
23,-54,-55,-55
24,-40,-42,-41
25,-42,-43,-44
26,-33,-32,-34
27,-20,-22,-20
28,-37,-40,-36
29,-25,-24,-26
30,-31,-34,-33
31,-36,-32,-32
32,-32,-33,-31
33,-33,-32,-34
34,-42,-39,-41
35,-44,-47,-46
36,-44,-43,-41
37,-40,-35,-37
38,-39,-40,-41
39,-46,-44,-43
40,-45,-43,-47
41,-42,-43,-44
42,-47,-46,-44
43,-46,-49,-47
44,-52,-54,-56
45,-52,-58,-54
46,-52,-53,-54
47,-52,-57,-55
48,-52,-55,-53
49,-49,-50,-51
50,-51,-51,-55
51,-54,-49,-46
